Title,Date,End,Description,Media,Place,Location,Location_Original,Source,Source URL
AFL-CIO refuses to endorse George McGovern for president,19/07/1972,,"<p>On July 19, 1972, the AFL-CIO announced its decision not to endorse George McGovern for president. This astounding decision helped doom the already floundering McGovern campaign, helping to guarantee another victory for Richard Nixon. It also placed a permanent divide between non-labor progressives in the Democratic Party and the labor movement, one that still has not been fully bridged today. The story is actually more complicated than is usually stated, because in fact a lot of unions strongly supported McGovern. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/07/this-day-in-labor-history-july-19-1972"">Read whole article</a></p>",,,#N/A,,,
President Carter declares Love Canal a federal emergency,07/08/1978,,"<p>On August 7, 1978, President Jimmy Carter declared a federal emergency at Love Canal, New York, in response to the discovery of massive amounts of toxins underneath a school and near a housing development for the working class who lived in the city of Niagara Falls, near Buffalo. This event was a key moment in the American working class standing up to the environmental depredations of American industry and eventually led to the creation of Superfund, the last major environmental legislation passed to address the popularly-based environmentalism of protecting people from pollution that played a major role in American politics during the 1970s.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/08/this-day-in-labor-history-august-7-1978"">Read whole article</a></p>",,,#N/A,,,
"Panama Canal opens, story of its workers",15/08/1914,,"<p>On August 15, 1914, the Panama Canal opened, completing one of the great engineering projects of the time, one that recreated racialized labor norms of the United States in Panama while also demonstrating how sanitary reforms could save workers lives. It also served to connect the imperial empire of labor the United States was building around the world. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/08/this-day-in-labor-history-august-15-1914"">Read whole article</a></p>",,,#N/A,,,
National Labor Union demands Congress implement the 8-hour day,20/08/1866,,"<p>On August 20, 1866, the National Labor Union, the first labor union federation in U.S. history, demanded Congress implement a national 8-hour day. It led to a partial and fleeting success, but the NLU story is an important moment in American labor history as it represents an early response to the onslaught of capitalism upon workers who suddenly found a class-based system developing in what was promised to be a white man’s democracy.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/08/this-day-in-labor-history-august-20-1866"">Read whole article</a></p>",,,#N/A,,,
The March on Washington for Jobs and Freedom,28/08/1963,,"<p>On August 28, 1963, the March on Washington for Jobs and Freedom took place in Washington, DC. This famous event is of course most often remembered for Martin Luther King’s “I Have a Dream” speech, or more specifically the 3 lines of it that conservatives have decided justify their own positions. But even among liberals and civil rights activists what is often forgotten or downplayed in the memory of this event is the central role economic issues played in it. Most of the economic agenda of the 1960s civil rights movement in fact is barely remembered. That’s a huge problem because not only were African-Americans fighting for the opportunity for economic advancement as well as to end segregation and for the vote but also because it presents an incomplete history which takes away part of the reason this movement so challenged American life. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/08/this-day-in-labor-history-august-28-1963"">Read whole article</a></p>",,,#N/A,,,
"Christiana Riot, runaway slaves resisting Fugitive Slave Act",11/09/1851,,"<p>On September 11, 1851, African-Americans and abolitionist whites in Christiana, Pennsylvania engaged in violent resistance against a posse of slave catchers riding up from Maryland to retrieve fugitive slaves in the town. The so-called Christiana Riot demonstrated the growing division in the nation over the use of slave labor in the aftermath of the Fugitive Slave Act of 1850 and the increasing willingness in the North to actively resist incursions to recover slaves who had freed themselves from a life of bondage. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/09/this-day-in-labor-history-september-11-1851"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2015/09/christianariot.jpg,,#N/A,,,
Black Monday in Youngstown,19/09/1977,,"<p>On September 19, 1977, the Youngstown Sheet and Tube Company shut down its operations, laying off approximately 4100 workers. This event, which became known as Black Monday, was emblematic of the deindustrialization decimating the Youngstown economy and dooming it and cities like it to long-term decline and entrenched poverty it has not recovered from today. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/09/this-day-in-labor-history-september-19-1977"">Read whole article</a></p>",,,#N/A,,,
"Comanche defeated at Palo Duro Canyon, end of a work history",28/09/1874,,"<p>On September 28, 1874, the U.S. military defeated the Comanche in Palo Duro Canyon, south of modern Amarillo, Texas, largely by stealing their horse herds. This forced the Comanche to the reservations where they had refused to live by taking away the technology that defined their lives and their work. This was essentially the end of an entire way of labor for the Comanche and indicative of the importance of work to the conquest of Native Americans.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/09/this-day-in-labor-history-september-28-1874"">Read whole article</a></p>",,,#N/A,,,
George H.W. Bush signs Radiation Exposure Compensation Act,15/10/1990,,"<p>On October 15, 1990, President George H.W. Bush signed the Radiation Exposure Compensation Act, finally providing a path forward for some of the Cold War’s most exploited workers, Navajo uranium miners, as well as other Americans, primarily Native Americans and Mormon farmers, who had been declared expendable by the Cold War military complex and exposed against their will or without knowledge to radiation from nuclear testing and mining. Yet even this act made it very difficult for Native Americans to win claims for compensation. This history signifies just how ignored Native American workers have been throughout American history and how the Cold War saw these people as utterly expendable. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/10/this-day-in-labor-history-october-15-1990"">Read whole article</a></p>",,,#N/A,,,
Newark sweatshop fire kills 25 workers,26/11/1910,,"<p>On November 26, 1910, a factory building in Newark, New Jersey caught on fire, killing 25 textile workers. This should have been a call to arms for workplace safety reform, but because it was in Newark and wealthy people did not see the people making their clothing die, nothing happened. The situation would be very different after those wealthy people did see workers die precisely four months later in New York during the Triangle Fire. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/11/this-day-in-labor-history-november-26-1910"">Read whole article</a></p>",,,#N/A,,,
"AFL endorses federal unemployment insurance, turning its back on history of voluntarism",30/11/1932,,"<p>On November 30, 1932, the American Federation of Labor endorsed federal unemployment insurance. This was a remarkable shift for the AFL, which had long opposed any sort of government programs for workers, preferring to rely on voluntarism and negotiation to force employers to concede worker rights instead of a government which it felt it had no reason to trust. This began the broader shift toward the American labor movement relying on government as the guarantor of its rights and the rights of working people writ large. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/11/this-day-in-labor-history-november-30-1932"">Read whole article</a></p>",,,#N/A,,,
"Theodore Roosevelt sends U.S. Army to crush IWW strike in Goldfield, Nevada.",04/12/1907,,"<p>On December 4, 1907, President Theodore Roosevelt ordered federal troops to the gold mining town of Goldfield, Nevada to bust a strike of workers affiliated with the Industrial Workers of the World and Western Federation of Miners. This event shows both the potential of the IWW to win actions and the extent to which the government would participate in crushing what it saw as a radical threat to American institutions. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/12/this-day-in-labor-history-december-4-1907"">Read whole article</a></p>",,,#N/A,,,
"Moses Brown hires Samuel Slater to build a modern textile mill in Pawtucket, Rhode Island, beginning the United States’ Industrial Revolution. ",10/12/1789,,"<p>On December 10, 1789, Moses Brown, a Rhode Island businessman, hired Samuel Slater to build an English-style factory in Pawtucket, Rhode Island. This began the Industrial Revolution in the United States. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/12/this-day-in-labor-history-december-10-1789"">Read whole article</a></p>",,,#N/A,,,
Assassination of Brazil rubber tapper union leader and environmentalist Chico Mendes,22/12/1988,,"<p>On December 22, 1988, the Brazilian rubber worker, union leader, and environmental activist Chico Mendes was murdered by a rancher named Darcy Alves who wished to clear the Amazon rainforest where Mendes and his fellow rubber tappers worked, lived, and tried to preserve from exploitation and destruction. His assassination showed both the power Brazilian developmentalists have over those who try to conserve forests but also the connections between labor and environmental movements that exist around the world. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/12/this-day-in-labor-history-december-22-1988"">Read whole article</a></p>",,,#N/A,,,
Skylab astronauts go on one-day strike,28/12/1973,,"<p>Does space have a labor history? The answer is yes. On December 28, 1973, the crew of Skylab went on a one-day strike to protest their working conditions and the pressure NASA placed on them to catch up on their experiments after one of them had gotten sick. This event might not have any enormous implications for the history of the American labor movement, but is a moment indicative of the broader worker protests of the 1970s that had the potential to reinvigorate the American labor movement. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2015/12/this-day-in-labor-history-december-28-1972"">Read whole article</a></p>",,,#N/A,,,
"Lettuce workers go on strike in Imperial Valley, starts era of farmworker organizing",16/01/1961,,"<p>On January 16, 1961, lettuce workers in the Imperial Valley of California walked off the job in one of the first modern actions of agricultural worker militancy that would eventually lead to the rise of the United Farm Workers and other farmworker unions in the 1960s and 1970s.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/01/this-day-in-labor-history-january-16-1961"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2016/01/strike_enlarge-300x225.jpg,,#N/A,,,
Pinkertons kill 14 year old boy at Jersey City coal wharves’ strike,18/01/1887,,"<p>On January 18, 1887, Pinkerton detectives killed a fourteen year old boy in Jersey City, New Jersey during a coal wharves strike. This murder, like so many of the period by the Pinkertons and other agencies developed to protect employer interests from workers, are a sign of the murderous attitude of business, police, and politicians toward American workers during the Gilded Age. Nothing is more emblematic of these attitudes than the hated Pinkertons. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/01/this-day-in-labor-history-january-18-1887"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2016/01/list-pinkerton-private-eye.jpg,,#N/A,,,
"OCAW strike against Shell, assisted by environmental groups",23/01/1973,,"<p>On January 23, 1973, the Oil, Chemical, and Atomic Workers went on strike against Shell Oil. This strike gained unusual supporters. Environmentalists came out hard against Shell and in support of OCAW. This came about in part because of the progressive leaders of OCAW leaders, particularly Tony Mazzocchi, OCAW legislative director. This case shows the very real potential for alliances between labor and environmentalists when the two movements have meaningful conversations and act in solidarity with one another. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/01/this-day-in-labor-history-january-23-1973"">Read whole article</a></p>",,,#N/A,,,
"Gold discovered in California, idea of white labor in the West",24/01/1848,,"<p style=""text-align: center;""><strong>“California Gold Diggers, Mining Operations on the Western Shore of the Sacramento River,” lithograph published by Kellogg &amp; Comstock, circa 1850</strong></p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/01/this-day-in-labor-history-january-24-1848"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2016/01/california_gold_diggers.jpg,,#N/A,,,
Yale graduate students go on strike,17/02/1992,,"<p>On February 17, 1992, graduate students at Yale University went on strike. This strike, one of the most prominent in the history of organizing graduate students, is a useful window into one of the most important sectors of labor organizing over the last three decades and indicative of the tremendous difficulty in organizing private workplaces in any sector in those same three decades. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/02/this-day-in-labor-history-february-17-1992"">Read whole article</a></p>",,,#N/A,,,
FDR nominates Frances Perkins to be Secretary of Labor,04/03/1933,,"<p>On March 4, 1933, the newly inaugurated president Franklin Delano Roosevelt nominated Frances Perkins as Secretary of Labor. This first female cabinet member in American history (the second wouldn’t come until the <del datetime=""2016-03-04T17:07:26+00:00"">Carter</del> Eisenhower administration), Perkins was a remarkable figure who dedicated her life to improving the lives of working Americans. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/03/this-day-in-labor-history-march-4-1933"">Read whole article</a></p>",,,#N/A,,,
Film adaptation of The Grapes of Wrath released,15/03/1940,,"<p>On March 15, 1940, John Ford’s film version of John Steinbeck’s<em> The Grapes of Wrath,</em> was released to universal acclaim. This was perhaps the greatest moment of the cultural left during the Great Depression. Of all the New Deal-era art that broadly made up the Popular Front, none were more well-remembered and beloved than the book and film versions of <em>The Grapes of Wrath</em>, despite and possibly because neither Ford nor Steinbeck was closely associated with that movement. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/03/this-day-in-labor-history-march-15-1940"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2016/03/grapes-of-wrath.jpg,,#N/A,,,
"Hawk’s Nest tunnel project in West Virginia starts, leading to mass deaths from silicosis",30/03/1930,,"<p>On March 30, 1930, the Hawk’s Nest tunnel project near Gauley Bridge, West Virginia began. This tunnel was designed to divert the New River to help Union Carbide increase its energy efficiency at a downstream plant. However, this mountain contained an unusual amount of silica. The largely African-American workers were not given any protection. While in normal cases, it takes years for silicosis to develop and  kill a worker, of the 3000 workers, perhaps up to 1000 died of silicosis, some within a year. This is one of the more horrifying workplace safety disasters in American history, one heavily conditioned by racial prejudice. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/03/this-day-in-labor-history-march-30-1930"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2016/03/Hawks-Nest-Tunnel.png,,#N/A,,,
End of the Civil War,09/04/1865,,"<p><em><br/>
This post should have gone up on April 9, but sometimes, a professor can become so convinced of a piece of trivia like a date that said professor doesn’t actually look it up and then finds out it is wrong. Speaking of a friend of course.</em> </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/04/this-day-in-labor-history-april-14-1865"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2016/04/HH-152.jpg,,#N/A,,,
FDR orders Montgomery Ward to accept union or face government seizure after it refuses to recognize union,27/04/1944,,"<p>On April 27, 1944, Attorney General Francis Biddle arrived in Chicago to order Montgomery Ward head Sewell Avery to either extend his workers’ contract so they would not strike during the war or have his company seized and run by the American government. When Avery refused, Biddle had the military physically remove Avery from Montgomery Ward offices and the process began that led to the government seizing the workplace. This remarkable incident shines a light on a number of major issues concerning organized labor, corporations, and government during World War II. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/04/this-day-in-labor-history-april-27-1944"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2016/04/chi-150carriedout20080819100625.jpg,,#N/A,,,
"Land for Drop City purchased, a window into the counterculture and work ",03/05/1965,,"<p>On May 3, 1965, Gene Bernofsky, JoAnn Bernofsky, Richard Kallweit, and Clark Richart bought a 7-acre piece of land north of Trinidad, Colorado. This would become known as Drop City, among the first and most important of the countercultural communes that dotted the American landscape during the late 1960s and 1970s and continuing, in a much diminished form, to the present. While itself not a particularly important day in American labor history per se, we can use this date to serve as a window into how work was organized in the counterculture, which is a meaningful topic on the subject. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/05/this-day-in-labor-history-may-3-1965"">Read whole article</a></p>",,,#N/A,,,
The Johnstown Flood,31/05/1889,,"<p>On May 31, 1889, the South Fork dam, on the land of the South Fork Fishing and Hunting Club above the city of Johnstown, Pennsylvania, collapsed during a heavy rainstorm. Over 2200 people died in the one of the worst disaster in American history. The Johnstown Flood is not only a horrible disaster but deeply reflective of class divisions during the Gilded Age and the complete lack of legal or moral responsibility the wealthy had toward the working class.  </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/05/this-day-in-labor-history-may-31-1889"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2016/05/Johnstown_Main_Street_1889_flood.jpg,,#N/A,,,
"Child Labor Amendment passes Senate, sent to states where it is not ratified",02/06/1924,,"<p>On June 2, 1924, a constitutional amendment to ban child labor passed the Senate and was sent out to the states for ratification. Unfortunately, the states never ratified it, although they still could today. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/06/this-day-in-labor-history-june-2-1924"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2016/06/childlabor12.jpg,,#N/A,,,
"Speculator Mine disaster in Butte, Montana kills 168 workers",08/06/1917,,"<p>On June 8, 1917, the Speculator Mine in Granite Mountain, near Butte, Montana, caught on fire. 168 miners died in the largest death toll in American history for a hard-rock mining disaster. This horrible event spurred a strike and union campaign in Butte that owners responded to through anti-union hysteria and organized violence, showing the sharp limits of organizing, especially in the American West, during World War I. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/06/this-day-in-labor-history-june-8-1917"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2016/06/Butte_c.1905.jpg,,#N/A,,,
Leadville Strike,22/06/1896,,"<p>On June 22, 1896, mine owners in Leadville, Colorado agreed to lock out their unionized miners, presenting a united front against unionism. This action would spur one of the largest battles between unions and employers in the 1890s, one that typically would be ended by the Colorado militia’s use as a private army of the employers. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/06/this-day-in-labor-history-june-22-1896"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2016/06/2_Miners_-_Cripple_Creek__CO.jpg,,#N/A,,,
Salem Fire and workplace safety,25/06/1914,,"<p><em>This is a guest post by Jacob Remes, who is clinical assistant professor at NYU’s Gallatin School of Individualized Study. His book, <a href=""http://www.press.uillinois.edu/books/catalog/83dew9ze9780252039836.html"">Disaster Citizenship: Survivors, Solidarity, and Power in the Progressive Era</a>, is available from the University of Illinois Press. <a href=""https://twitter.com/jacremes"">He tweets at @jacremes</a>.</em></p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/06/this-day-in-labor-history-june-25-1914"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2016/06/past-and-present-began-001.jpg,,#N/A,,,
"Civil Rights Act of 1964, including Title VII",02/07/1964,,"<p>On July 2, 1964, President Lyndon Baines Johnson signed the Civil Rights Act. Today’s post evaluates the impact of Title VII of the law. Title VII prohibited discrimination by covered employers on the basis of race, color, religion, sex or national origin, with an exception for members of the Communist Party who employers could continue to discriminate against. For the first time, they had the right to a job regardless of their race and gender. This transformed employment law and the lives of millions of American workers. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/07/this-day-in-labor-history-july-2-1964"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2016/07/Lyndon_Johnson_signing_Civil_Rights_Act_July_2_1964.jpg,,#N/A,,,
"The Philippine Scouts, Filipino soldiers in the US occupying army of their homeland, strike",06/07/1924,,"<p>On July 6, 1924, members of the Philippine Scouts, a division of Filipino troops in the U.S. Army occupying the Philippines, refused to drill to protest their poor pay and unfair treatment. This would eventually lead to their court martial. This incident shines a light on two critical and understudied issues in American labor history: the idea of the military as labor and the labor history of American imperialism. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/07/this-day-in-labor-history-july-6-1924"">Read whole article</a></p>",,,#N/A,,,
Bonus Army encampment burned,28/07/1932,,"<p>On July 28, 1932, the U.S. Army 12th Infantry regiment commanded by Douglas MacArthur and the 3rd Calvary Regiment, supported by six battle tanks commanded by Major George Patton violently evicted the Bonus Army from their Washington, D.C. encampment. This violent action and horrible treatment of impoverished veterans shocked the American public and demonstrated the utter indifference of Herbert Hoover to the desperate poverty the nation faced, helping to seal his overwhelming defeat that fall that ushered in the widespread change of the New Deal that would follow. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/07/this-day-in-labor-history-july-28-1932"">Read whole article</a></p>",,,#N/A,,,
Newark leathermakers lock out employees to destroy the Knights of Labor,13/08/1887,,"<p>On August 13, 1887, leathermakers in Newark, New Jersey, locked out their employees as a strategy to crush the Knights of Labor. This lockout would demonstrate the lengths to which American employers would go in order to ensure their shops remained union-free, a significant departure from the accommodations made by European employers, a difference that still resonates in the American labor movement today. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/08/this-day-in-labor-history-august-13-1887"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/08/knights-of-labor-hero-H.jpeg,,#N/A,,,
Peterloo Massacre in Manchester,16/08/1819,,"<p>On August 16, 1819, British cavalry charged into a crowd of 60,000-80,000 workers in a field in Manchester, England who had gathered to demand parliamentary representation and the repeal of laws making food more expensive. Approximately 15 people died and between 400 and 700 people were injured. This movement of working class radicalism was deeply intertwined with conditions of British workers during the Industrial Revolution and the early manifestations of political radicalism this created. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/08/this-day-in-labor-history-august-16-1819"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/08/112144-004-1414AE7B.jpg,"Manchester, UK","53.4794892,-2.2451148",,,
Haitian slave revolt begins,21/08/1791,,"<p>On August 21, 1791, the Haitian Revolution began. The largest and by far the most successful slave rebellion in world history, the Haitian Revolution transformed world history, foiling French imperial aims, leading to the expansion of the United States, placing fear into the hearts of slaveholders across the Western Hemisphere, and exposing the limits of the republican rhetoric of the Enlightenment. It’s also a story of the incredible bravery of the slaves themselves. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/08/this-day-in-labor-history-august-21-1791"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/08/Haitian_revolution.jpg,Haiti,"19.1399952,-72.3570972",,,
"Hamlet, North Carolina chicken factory burns, kills 25 workers",03/09/1991,,"<p>On September 3, 1991, a chicken factory in Hamlet, North Carolina caught of fire thanks to nonexistent safety procedures, killing 25 workers and injuring another 55. This was the largest workplace disaster in North Carolina history. This entirely avoidable accident was reminiscent of workplace disasters of the past, with open employer contempt for safety regulations and the lives of their workers. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/09/this-day-in-labor-history-september-3-1991"">Read whole article</a></p>",,,#N/A,,,
North Carolina governor calls out National Guard to bust textile strike,05/09/1934,,"<p>On September 5, 1934, the governor of North Carolina called out the National Guard to aid mill owners in the textile strike overtaking their state and the east coast. This strike, not only mobilizing the remnant apparel workers of the northeast, but the traditionally anti-union workers of the South, was a shock to the system of the New Deal state, helping it realize the level of worker dissatisfaction and the need for meaningful union legislation. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/09/this-day-in-labor-history-september-5-1934"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/09/1934-textile-general-strike.jpg,,#N/A,,,
"Avondale Colliery fire, 110 miners die",06/09/1869,,"<p>On September 6, 1869, the Avondale Colliery mine near Plymouth, Pennsylvania caught on fire, killing 110 workers. This disaster, one of the first major coal disasters in the United States, led to some of the nation’s first workplace safety laws, but ultimately, many thousands more workers would have to die before the nation took workplace safety seriously. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/09/this-day-in-labor-history-september-6-1869"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/09/Avondale_mine_disaster_dead.jpeg,,#N/A,,,
Farm Labor Organizing Committee signs contract with Mt. Olive Pickles and its contracting farmers,16/09/2004,,"<p>On September 16, 2004, Mt. Olive Pickles finally came to an agreement with the Farm Labor Organizing Committee, ending a lengthy boycott of the company. This groundbreaking farm workers union launched one of the most successful organizing campaigns of the last 25 years in the South and demonstrate the continued vitality of farmworker unions in the present. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/09/this-day-in-labor-history-september-16-2004"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/09/MVC-105F.jpg,,#N/A,,,
"Fourth IWW convention begins, Daniel DeLeon’s Socialist Labor Party loses bid to take over organization ",21/09/1908,,"<p>On September 21, 1908, the Industrial Workers of the World met for its 4th annual convention in Chicago. This convention would reshape the struggling nascent organization, moving it clearly from an intellectuals’ movement to a workers’ movement. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/09/this-day-in-labor-history-september-21-1908"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/09/index2.jpg,,#N/A,,,
"West Coast ports close because of lockout, George W. Bush invokes Taft-Hartley to open them 10 days later",27/09/2002,,"<p>On September 27, 2002, 29 ports on the West Coast closed when the Pacific Maritime Association, a industry group of shippers, decided to lock out their workers affiliated with the International Longshoremen’s and Warehousemen’s Union (ILWU). The lockout, which halted the United States’ international trade continued for 11 days until President George W. Bush invokes the <a href=""http://lawyersgunsmon.wpengine.com/2012/06/this-day-in-labor-history-june-20-1947"">Taft-Hartley Act</a> to end the lockout and call for a cooling down period. This struggle eventually led to a major victory for the ILWU.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/09/this-day-in-labor-history-september-27-2002"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/09/ILWUprotestinglockout_2002.jpg,,#N/A,,,
"Farmers kill two strikers at Pixley, California",10/10/1933,,"<p>On October 10, 1933, thirty ranchers surrounded a group of agricultural strikers in Pixley, California. They opened fire and killed two. The massacre at Pixley culminated the farm strike that had gone on through the harvesting season and demonstrated the level of violence ranchers would resort to in order to keep labor as exploitable as possible. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/10/this-day-in-labor-history-october-10-1933"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/10/index.jpg,,#N/A,,,
Lyon silk weavers revolt,25/10/1831,,"<p>On October 25, 1831, the first of several revolts by silk workers in Lyon, France, began, which rocked the nation. The Canut revolts that this began was among the first serious challenges to the labor systems of the Industrial Revolution. With the slogan of “Live Free or Die Fighting,” they serve as a precursor to more than a century of industrial revolt before the benefits of industrialization would be shared fairly with European workers. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/10/this-day-in-labor-history-october-24-1831"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/10/Revolte_des_Canuts_-_Lyon_1831_-_1.jpg,,#N/A,,,
President Carter signs the Pregnancy Discrimination Act,31/10/1978,,"<p>On October 31, 1978, President Jimmy Carter signed the <a href=""https://www.eeoc.gov/laws/statutes/pregnancy.cfm"">Pregnancy Discrimination Act</a>. An amendment to <a href=""http://lawyersgunsmon.wpengine.com/2016/07/this-day-in-labor-history-july-2-1964"">Title VII of the 1964 Civil Rights Act</a>, the new law stated the pregnant workers “shall be treated the same for all employment-related purposes as other person not so affected, but similar in their ability or inability to work.” This law was the culmination of a long movement to give female workers equal rights on the job, as opposed to special protections that could ultimately lead to discrimination against them. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/10/this-day-in-labor-history-october-31-1978"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/10/150408102128-09-era-key-players-restricted-super-169.jpg,,#N/A,,,
"U.S. Army occupies South Carolina sea islands, start of Port Royal Experiment",07/11/1861,,"<p>On November 7, 1861, the U.S. Army occupied the South Carolina sea islands. Suddenly having to deal with the existence of thousands of slaves with no masters, the military engaged in what became known as the Port Royal Experiment. This precursor to Reconstruction is an important moment in American history, one that proved to skeptical whites that blacks would work without slavery and one that demonstrated the very real limits even for abolitionists in thinking about the post-slavery future in the South. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/11/this-day-in-labor-history-november-7-1861"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/11/1862hiltonhead01a.jpg,,#N/A,,,
"United Fruit workers in Colombia go on strike, government responds with massacre",12/11/1928,,"<p>On November 12, 1928, workers for United Fruit in Ciénega, Colombia went on strike. This uprising against the total domination of United Fruit over workers’ lives represents how the company sought to control entire countries in its attempts to dominate the banana trade. The ensuing massacre of those workers a few weeks later demonstrates the very real power the company had in accomplishing that goal. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/11/this-day-in-labor-history-november-12-1928"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/11/n18a03-9.jpg,,#N/A,,,
"New York State Education Commissioner reasserts state control over Ocean Hill-Brownsville school district, ends major conflict over the Ocean Hill-Brownsville teachers strike led by Albert Shanker over black community control",17/11/1968,,"<p>On November 17, 1968, the New York State Education Commissioner reasserted control over the Ocean Hill-Brownsville school district in Brooklyn, ending the strike by teachers that started when African-American activists fired white teachers in their schools in violation of the union contract. This fraught incident represented the difficult relationship between organized labor and other social movements in the 1960s and 1970s, demonstrated the increased militancy of teachers unions during this period, and suggested the complexity of labor’s responses to social groups making new demands upon society. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/11/this-day-in-labor-history-november-17-1968"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/11/goldstein_otu_img.jpg,,#N/A,,,
